Entity,Year,Code,Electricity from biofuels - TWh,Electricity from hydro - TWh,Electricity from solar - TWh,Electricity from wind - TWh,Electricity from geothermal - TWh
Indonesia,2000,IDN,0.0,10.02,0.0,0.0,0.000525
Indonesia,2001,IDN,0.0,11.65,0.0,0.0,0.000785
Indonesia,2002,IDN,0.0,9.93,0.0,0.0,0.000785
Indonesia,2003,IDN,0.0,9.1,0.0,0.0,0.000805
Indonesia,2004,IDN,0.0,9.67,0.0,0.0,0.00082
Indonesia,2005,IDN,0.10277778,10.73,0.0,0.0,0.00085
Indonesia,2006,IDN,0.5138889,9.62,0.0,0.0,0.00085
Indonesia,2007,IDN,2.5254989,11.29,0.0,0.0,0.00098
Indonesia,2008,IDN,5.1463323,11.53,0.0,0.0,0.001052
Indonesia,2009,IDN,1.7491089,11.38,0.0,0.0,0.001189
Indonesia,2010,IDN,2.2396321,17.46,0.0,0.0,0.001189
Indonesia,2011,IDN,16.585945,12.42,0.0,0.0,0.001226
Indonesia,2012,IDN,20.319767,12.8,0.0,0.0,0.001336
Indonesia,2013,IDN,25.659634,16.92,0.01,0.0,0.0013435
Indonesia,2014,IDN,36.324234,15.16,0.01,0.0,0.0014035
Indonesia,2015,IDN,14.81855,13.74,0.01,0.0,0.0014383
Indonesia,2016,IDN,33.429016,18.68,0.02,0.01,0.0015333
Indonesia,2017,IDN,31.23455,18.63,0.03,0.0,0.0018083
Indonesia,2018,IDN,56.397747,21.64,0.09,0.19,0.0019483
Indonesia,2019,IDN,76.79713,21.16,0.12,0.48,0.0021307
Indonesia,2020,IDN,78.586044,24.33,0.17,0.47,0.0021307
Indonesia,2021,IDN,93.6305,24.7,0.19,0.44,0.00228605
Indonesia,2022,IDN,108.223694,27.3,0.44,0.36,0.00236033
Indonesia,2023,IDN,120.25344,24.59,0.71,0.48,0.00259751
Indonesia,2024,IDN,127.39707,26.486706,0.9248443,0.4823178,0.0026388
