Entity,Code,Year,Geothermal capacity - MWh,Geothermal capacity - TWh
Africa,,2000,65.3,0.0000653
Africa,,2001,65.3,0.0000653
Africa,,2002,65.3,0.0000653
Africa,,2003,65.3,0.0000653
Africa,,2004,135.3,0.0001353
Africa,,2005,135.3,0.0001353
Africa,,2006,135.3,0.0001353
Africa,,2007,135.3,0.0001353
Africa,,2008,135.3,0.0001353
Africa,,2009,170.3,0.0001703
Africa,,2010,205.3,0.0002053
Africa,,2011,205.3,0.0002053
Africa,,2012,212.8,0.0002128
Africa,,2013,212.8,0.0002128
Africa,,2014,373.4,0.0003734
Africa,,2015,626.2,0.0006262
Africa,,2016,660.2,0.0006602
Africa,,2017,680.2,0.0006802
Africa,,2018,691.1,0.0006911
Africa,,2019,691.1,0.0006911
Africa,,2020,870.43,0.00087043
Africa,,2021,870.43,0.00087043
Africa,,2022,957.02997,0.00095703
Africa,,2023,992.02997,0.00099203
Africa,,2024,947.02997,0.00094703
Argentina,ARG,2000,0.6,0.0000006
Argentina,ARG,2001,0.6,0.0000006
Argentina,ARG,2002,0.6,0.0000006
Argentina,ARG,2003,0.6,0.0000006
Argentina,ARG,2004,0.6,0.0000006
Argentina,ARG,2005,0.6,0.0000006
Argentina,ARG,2006,0.6,0.0000006
Argentina,ARG,2007,0.6,0.0000006
Argentina,ARG,2008,0.6,0.0000006
Asia,,2000,2944.65,0.00294465
Asia,,2001,3204.65,0.00320465
Asia,,2002,3204.65,0.00320465
Asia,,2003,3223.65,0.00322365
Asia,,2004,3238.65,0.00323865
Asia,,2005,3268.65,0.00326865
Asia,,2006,3273.65,0.00327365
Asia,,2007,3403.65,0.00340365
Asia,,2008,3485.75,0.00348575
Asia,,2009,3672.75,0.00367275
Asia,,2010,3691.05,0.00369105
Asia,,2011,3750.15,0.00375015
Asia,,2012,3883.15,0.00388315
Asia,,2013,4039.45,0.00403945
Asia,,2014,4258.85,0.00425885
Asia,,2015,4520.45,0.00452045
Asia,,2016,4822.45,0.00482245
Asia,,2017,5285.516,0.005285516
Asia,,2018,5658.113,0.005658113
Asia,,2019,6080.552,0.006080552
Asia,,2020,6185.342,0.006185342
Asia,,2021,6407.684,0.006407684
Asia,,2022,6451.5312,0.006451531
Asia,,2023,6730.041,0.006730041
Asia,,2024,6847.5312,0.006847531
Australia,AUS,2000,0.2,0.0000002
Australia,AUS,2001,0.2,0.0000002
Australia,AUS,2002,0.2,0.0000002
Australia,AUS,2003,0.1,0.0000001
Australia,AUS,2004,0.1,0.0000001
Australia,AUS,2005,0.2,0.0000002
Australia,AUS,2006,0.1,0.0000001
Australia,AUS,2007,0.1,0.0000001
Australia,AUS,2008,0.1,0.0000001
Australia,AUS,2009,0.1,0.0000001
Australia,AUS,2010,0.1,0.0000001
Australia,AUS,2011,0.1,0.0000001
Australia,AUS,2012,0.1,0.0000001
Australia,AUS,2013,0.1,0.0000001
Australia,AUS,2014,0.1,0.0000001
Australia,AUS,2015,0.1,0.0000001
Australia,AUS,2016,0.1,0.0000001
Australia,AUS,2017,0.1,0.0000001
Australia,AUS,2018,0.1,0.0000001
Australia,AUS,2019,0.1,0.0000001
Australia,AUS,2020,0.1,0.0000001
Australia,AUS,2021,0.1,0.0000001
Australia,AUS,2022,0.1,0.0000001
Australia,AUS,2023,0.1,0.0000001
Australia,AUS,2024,0.1,0.0000001
Austria,AUT,2002,2,0.000002
Austria,AUT,2003,2,0.000002
Austria,AUT,2004,2,0.000002
Austria,AUT,2005,0.915,0.000000915
Austria,AUT,2006,0.915,0.000000915
Austria,AUT,2007,0.915,0.000000915
Austria,AUT,2008,0.915,0.000000915
Austria,AUT,2009,0.915,0.000000915
Austria,AUT,2010,0.915,0.000000915
Austria,AUT,2011,0.915,0.000000915
Austria,AUT,2012,0.915,0.000000915
Austria,AUT,2013,0.915,0.000000915
Austria,AUT,2014,0.915,0.000000915
Austria,AUT,2015,0.915,0.000000915
Austria,AUT,2016,0.924,0.000000924
Austria,AUT,2017,0.915,0.000000915
Austria,AUT,2018,0.915,0.000000915
Austria,AUT,2019,0.915,0.000000915
Austria,AUT,2020,0.915,0.000000915
Austria,AUT,2021,0.25,0.00000025
Austria,AUT,2022,0.25,0.00000025
Austria,AUT,2023,0.25,0.00000025
Austria,AUT,2024,0.25,0.00000025
Chile,CHL,2017,24,0.000024
Chile,CHL,2018,39.7,0.0000397
Chile,CHL,2019,39.7,0.0000397
Chile,CHL,2020,39.7,0.0000397
Chile,CHL,2021,51.4,0.0000514
Chile,CHL,2022,83.37,0.00008337
Chile,CHL,2023,83.58,0.00008358
Chile,CHL,2024,83.58,0.00008358
China,CHN,2000,21.65,0.00002165
China,CHN,2001,21.65,0.00002165
China,CHN,2002,21.65,0.00002165
China,CHN,2003,21.65,0.00002165
China,CHN,2004,21.65,0.00002165
China,CHN,2005,21.65,0.00002165
China,CHN,2006,21.65,0.00002165
China,CHN,2007,21.65,0.00002165
China,CHN,2008,24.75,0.00002475
China,CHN,2009,24.75,0.00002475
China,CHN,2010,24.05,0.00002405
China,CHN,2011,26.15,0.00002615
China,CHN,2012,26.15,0.00002615
China,CHN,2013,25.95,0.00002595
China,CHN,2014,25.95,0.00002595
